可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業
台泥一永,11011,twA+,6.4399999999999995,2027-11-26 00:00:00,100,2027-12-10 00:00:00,2.043835616438356,0.03,2.239999999999995,20.55,35.2,58.38068181818181,95.8,64.09537712895379,24.78,24.98,100.0,8000000000.0,水泥工業
上曜四,13164,富邦銀,0.7,2026-01-15 00:00:00,100,2026-01-29 00:00:00,0.18082191780821918,0.022,3.700000000000003,13.95,14.7,94.89795918367346,103,8.537634408602157,34.69,46.64,33.5,400000000.0,建材營建
上曜六,13166,板信銀,2.3099999999999996,2026-12-13 00:00:00,100.5,2026-12-27 00:00:00,1.0904109589041096,0.023,13.310000000000002,13.95,17.4,80.17241379310344,111,38.45161290322581,34.69,46.64,100.0,400000000.0,建材營建
遠東新E1永,140201,3,4.569999999999999,2027-07-25 00:00:00,100,2027-08-08 00:00:00,1.704109589041096,0.025,6.269999999999996,37.4,43.1,86.77494199535963,101.7,17.199732620320862,17.32,24.08,100.0,1000000000.0,紡織纖維
聚隆四,14664,台中商銀,6.22,2028-06-06 00:00:00,100,2028-06-20 00:00:00,2.5726027397260274,0.023,12.620000000000005,14.35,18.8,76.32978723404254,106.4,39.39512195121955,41.3,50.12,100.0,400000000.0,紡織纖維
三洋實業二,14722,台中商銀,2.7699999999999996,2027-05-15 00:00:00,101.0025,2027-05-29 00:00:00,1.5095890410958903,0.023,8.769999999999996,90.7,98.6,91.98782961460446,106,15.232635060639478,24.07,33.89,100.0,300000000.0,建材營建
亞力二,15142,6,6.5,2027-12-30 00:00:00,100.7519,2028-01-13 00:00:00,2.136986301369863,0.0325,20.5,95.2,109.2,87.17948717948718,114,30.76470588235294,33.24,43.28,100.0,1200000000.0,電機機械
中砂一,15601,4,4.26,2027-06-10 00:00:00,100,2027-06-24 00:00:00,1.5808219178082192,0.025,34.00999999999999,299,284.6,105.0597329585383,129.75,23.501170568561868,38.18,47.6,99.94,1000000000.0,電機機械
和勤四,15864,合庫,1.99,2026-08-16 00:00:00,100,2026-08-30 00:00:00,0.7643835616438356,0.022,11.489999999999995,26.5,30.74,86.20689655172414,109.5,27.02,31.88,29.29,100.0,200000000.0,電機機械
大亞五,16095,5,6.949999999999999,2027-09-16 00:00:00,100.75,2027-09-30 00:00:00,1.8493150684931507,0.04,10.450000000000003,37.55,51.3,73.19688109161793,103.5,41.39946737683091,38.06,40.5,100.0,2000000000.0,電器電纜
合世三,17813,華南銀,4.52,2027-09-10 00:00:00,100,2027-09-24 00:00:00,1.832876712328767,0.023,6.219999999999999,11.25,18,62.5,101.7,62.72,22.82,34.16,100.0,200000000.0,生技醫療
科妍三,17863,6,5.029999999999999,2027-07-18 00:00:00,102.01,2027-08-01 00:00:00,1.6849315068493151,0.04,29.03,77.8,116.5,66.78111587982832,124,85.68123393316196,40.31,43.74,100.0,400000000.0,生技醫療
劍麟三,22283,5,5.59,2027-08-15 00:00:00,100,2027-08-29 00:00:00,1.7616438356164383,0.03,21.090000000000003,92.8,85.36,108.71602624179944,115.5,6.240086206896556,48.97,44.43,92.9,300000000.0,汽車工業
汎德永業一,22471,4,7.3,2028-06-12 00:00:00,100,2028-06-26 00:00:00,2.589041095890411,0.027,12.649999999999991,283.5,289.4,97.9612992398065,105.35,7.5424691358024765,24.39,24.93,100.0,1000000000.0,汽車工業
汎德永業二,22472,4,7.319999999999999,2028-06-16 00:00:00,100,2028-06-30 00:00:00,2.6,0.027,14.669999999999987,283.5,280.2,101.1777301927195,107.35,6.100423280423262,24.39,24.93,100.0,1000000000.0,汽車工業
旺宏二,23372,5,10.8,2028-03-10 00:00:00,100,2028-03-24 00:00:00,2.3315068493150686,0.045,61.80000000000001,34.5,23,150.0,151,0.6666666666666599,57.28,53.68,50.51,3000000000.0,電子–半導體
順德一,23511,5,8.64,2028-06-03 00:00:00,100,2028-06-17 00:00:00,2.5643835616438357,0.0325,32.639999999999986,77.8,72.4,107.4585635359116,124,15.393316195372764,45.63,45.79,100.0,1200000000.0,電子–半導體
毅嘉三,24023,5,6.26,2027-11-05 00:00:00,100,2027-11-19 00:00:00,1.9863013698630136,0.03,12.260000000000005,46.3,55,84.18181818181819,106,25.917926565874726,43.45,42.53,100.0,1000000000.0,電子–電子零組件
偉詮電一,24361,5,3.4899999999999998,2026-08-28 00:00:00,100,2026-09-11 00:00:00,0.7972602739726027,0.04,11.289999999999992,43.25,53.3,81.14446529080675,107.8,32.84947976878614,39.76,43.42,99.99,1100000000.0,電子–半導體
美律四,24394,3,4.2,2027-06-26 00:00:00,100,2027-07-10 00:00:00,1.6246575342465754,0.024,10.25,105,128.9,81.45849495733127,106.05,30.189,23.89,33.27,100.0,2500000000.0,電子–通信網路
美律五,24395,3,4.28,2027-07-08 00:00:00,100,2027-07-22 00:00:00,1.6575342465753424,0.024,12.780000000000001,105,125.2,83.86581469648561,108.5,29.373333333333342,23.89,33.27,100.0,500000000.0,電子–通信網路
光群雷六,24616,台中商銀,1.03,2026-03-10 00:00:00,100,2026-03-24 00:00:00,0.3287671232876712,0.022,41.03,15,14.5,103.44827586206897,140,35.33333333333333,21.21,29.86,42.68,600000000.0,電子–其他電子
良得電四,24624,6,3.3299999999999996,2026-07-28 00:00:00,100,2026-08-11 00:00:00,0.7123287671232876,0.0425,7.230000000000004,21.1,30.09,70.1229644400133,103.9,48.16829383886254,41.67,40.22,61.07,400000000.0,電子–電子零組件
鉅祥二,24762,4,3.2399999999999998,2027-01-12 00:00:00,100,2027-01-26 00:00:00,1.1726027397260275,0.025,35.09,85.5,66.5,128.57142857142858,131.85,2.5499999999999856,35.66,39.66,38.95,1000000000.0,電子–電子零組件
皇普三,25283,元大銀,4.39,2027-12-17 00:00:00,100.752,2027-12-31 00:00:00,2.1013698630136988,0.023,13.340000000000003,29,42.4,68.39622641509435,108.95,59.292413793103435,26.68,35.59,100.0,600000000.0,建材營建
華固三,25483,4,7.72,2027-09-18 00:00:00,100,2027-10-02 00:00:00,1.8547945205479452,0.04,9.370000000000005,98.5,125,78.8,101.65,28.997461928934023,25.44,31.31,100.0,4000000000.0,建材營建
華固四,25484,4,7.8999999999999995,2027-10-04 00:00:00,100,2027-10-18 00:00:00,1.8986301369863015,0.04,9.400000000000006,98.5,123.5,79.75708502024291,101.5,27.261421319796963,25.44,31.31,100.0,2000000000.0,建材營建
華航七,26107,twBBB+,1.37,2026-04-14 00:00:00,100,2026-04-28 00:00:00,0.4246575342465753,0.025,19.02000000000001,19.05,16.9,112.72189349112426,117.65,4.371916010498689,17.8,29.1,22.99,4500000000.0,航運業
王品一,27271,4,0.51,2026-03-15 00:00:00,100.7519,2026-03-29 00:00:00,0.3424657534246575,0.028,7.109999999999999,212,233.4,90.8311910882605,106.6,17.360566037735836,21.64,25.04,99.98,700000000.0,觀光餐旅
山富一,27431,4,4.579999999999999,2027-08-14 00:00:00,101.0025,2027-08-28 00:00:00,1.7589041095890412,0.03,9.429999999999993,82,101.9,80.4710500490677,104.85,30.29530487804879,39.32,47.7,100.0,300000000.0,觀光餐旅
八方雲集一,27531,4,8.07,2028-09-25 00:00:00,100,2028-10-09 00:00:00,2.8767123287671232,0.027,19.569999999999993,191.5,212,90.33018867924528,111.5,23.436031331592687,31.25,30.97,100.0,800000000.0,觀光餐旅
八方雲集二,27532,4,8.15,2028-10-06 00:00:00,100,2028-10-20 00:00:00,2.9068493150684933,0.027,19.60000000000001,191.5,210,91.19047619047619,111.45,22.216710182767628,31.25,30.97,100.0,200000000.0,觀光餐旅
揚秦一,27551,5,7.8,2028-01-01 00:00:00,100,2028-01-15 00:00:00,2.1424657534246574,0.035,47.80000000000001,118.5,86.7,136.67820069204151,140,2.4303797468354427,33.32,36.65,60.6,200000000.0,觀光餐旅
聯發國際一,27561,5,1.35,2026-05-16 00:00:00,101.0025,2026-05-30 00:00:00,0.5123287671232877,0.04,16.349999999999994,85,90.1,94.33962264150944,115,21.899999999999984,39.11,39.19,98.33,300000000.0,觀光餐旅
三商一,29051,5,0.81,2026-01-11 00:00:00,100,2026-01-25 00:00:00,0.16986301369863013,0.03,0.21000000000000796,14.6,19.23,75.92303692147686,99.4,30.922054794520548,29.6,33.13,11.07,2300000000.0,貿易百貨
高林一,29061,5,3.3899999999999997,2026-09-06 00:00:00,100,2026-09-20 00:00:00,0.821917808219178,0.0375,1.4399999999999977,13.05,16.8,77.67857142857143,98.05,26.225287356321836,12.88,22.29,46.0,1000000000.0,貿易百貨
晶豪科一,30061,5,3.7699999999999996,2026-10-13 00:00:00,100,2026-10-27 00:00:00,0.9232876712328767,0.0375,17.069999999999993,80.1,83.6,95.81339712918661,113.3,18.250686641697868,55.76,51.68,99.99,1000000000.0,電子–半導體
晟銘電四,30134,中信銀/兆豐銀,4.67,2027-10-04 00:00:00,100,2027-10-18 00:00:00,1.8986301369863015,0.023,30.47,117.5,143.8,81.7107093184979,125.8,53.95778723404256,50.72,56.77,100.0,500000000.0,電子–電腦及週邊設備
偉訓一,30321,5,6.6899999999999995,2027-10-30 00:00:00,101.0025,2027-11-13 00:00:00,1.9698630136986301,0.0375,13.189999999999998,83.5,105.9,78.84796978281398,106.5,35.070059880239526,51.97,57.21,100.0,1000000000.0,電子–電子零組件
威健七,30337,6,7.04,2027-08-28 00:00:00,100,2027-09-11 00:00:00,1.7972602739726027,0.0375,11.540000000000006,29.05,34.44,84.34959349593497,104.5,23.889156626506015,21.84,24.85,100.0,2500000000.0,電子–電子通路
欣興一,30371,4,7.369999999999999,2028-10-20 00:00:00,100,2028-11-03 00:00:00,2.9452054794520546,0.024,37.31999999999999,160,165.4,96.73518742442563,129.95,34.335812499999996,53.29,53.4,100.0,4000000000.0,電子–電子零組件
台灣大四,30454,2,5.26,2028-02-10 00:00:00,100,2028-02-24 00:00:00,2.252054794520548,0.022,4.859999999999999,107,118.2,90.52453468697124,99.6,10.025420560747666,14.72,15.84,100.0,7000000000.0,電子–通信網路
台灣大五,30455,2,5.27,2028-02-11 00:00:00,100,2028-02-25 00:00:00,2.254794520547945,0.022,7.670000000000002,107,111.3,96.13656783468105,102.4,6.51514018691588,14.72,15.84,100.0,3000000000.0,電子–通信網路
艾訊二,30882,5,2.5799999999999996,2026-08-14 00:00:00,100,2026-08-28 00:00:00,0.7589041095890411,0.03,9.480000000000004,72.2,88.5,81.58192090395481,106.9,31.03393351800554,24.29,42.17,46.07,800000000.0,電子–電腦及週邊設備
及成四,30954,陽信銀,3.1899999999999995,2027-02-11 00:00:00,100,2027-02-25 00:00:00,1.2547945205479452,0.023,8.489999999999995,26.6,41.1,64.72019464720195,105.3,62.70037593984961,46.31,54.59,100.0,150000000.0,電子–通信網路
弘塑一,31311,5,8.35,2028-07-16 00:00:00,100,2028-07-30 00:00:00,2.682191780821918,0.03,24.44999999999999,1335,1736.5,76.87877915346962,116.1,51.01696629213484,57.74,60.99,100.0,1000000000.0,電子–其他電子
弘塑二,31312,5,8.4,2028-07-22 00:00:00,100,2028-08-05 00:00:00,2.6986301369863015,0.03,26.400000000000006,1335,1626.6,82.07303578015492,118,43.774382022471904,57.74,60.99,100.0,1000000000.0,電子–其他電子
虹冠電一,32571,6,6.55,2027-10-18 00:00:00,101.5075,2027-11-01 00:00:00,1.936986301369863,0.04,19.849999999999994,59.6,72.2,82.54847645429363,113.3,37.252684563758386,45.46,51.19,100.0,500000000.0,電子–半導體
昇貿五,33055,6,4.369999999999999,2026-12-11 00:00:00,100,2026-12-25 00:00:00,1.084931506849315,0.0375,39.870000000000005,91.2,73.3,124.42019099590725,135.5,8.905153508771924,68.85,59.04,13.66,800000000.0,電子–其他電子
斐成三,33133,元大銀,4.9399999999999995,2027-11-15 00:00:00,100,2027-11-29 00:00:00,2.0136986301369864,0.023,13.439999999999998,13.1,15.7,83.43949044585987,108.5,30.034351145038162,45.98,47.1,98.57,400000000.0,其他
雙鴻五,33245,4,2.9999999999999996,2027-07-17 00:00:00,101.5075,2027-07-31 00:00:00,1.6821917808219178,0.025,42.05000000000001,881,734.4,119.96187363834423,139.05,15.911827468785479,47.67,54.48,100.0,1500000000.0,電子–其他電子
臺慶科一,33571,4,2.6399999999999997,2026-10-17 00:00:00,100,2026-10-31 00:00:00,0.9342465753424658,0.025,46.839999999999975,156,108.9,143.25068870523415,144.2,0.6626923076923141,42.24,40.98,89.35,1100000000.0,電子–電子零組件
先進光一,33621,土銀,3.3299999999999996,2027-07-02 00:00:00,100.75,2027-07-16 00:00:00,1.641095890410959,0.023,4.829999999999998,87.5,251,34.8605577689243,101.5,191.16,41.17,48.17,99.99,1200000000.0,電子–光電
新日興三,33763,4,3.1599999999999997,2027-08-09 00:00:00,101.51,2027-08-23 00:00:00,1.7452054794520548,0.025,20.959999999999994,177.5,195.2,90.93237704918033,117.8,29.546816901408434,51.05,56.51,99.61,800000000.0,電子–電子零組件
崇越電一,33881,4,5.79,2027-10-26 00:00:00,100,2027-11-09 00:00:00,1.9589041095890412,0.028,8.840000000000003,61.4,62.8,97.77070063694268,103.05,5.399674267100973,9.13,16.65,99.98,700000000.0,電子–電子零組件
旭軟二,33902,中信銀,5.47,2028-02-07 00:00:00,100,2028-02-21 00:00:00,2.243835616438356,0.023,21.47,20.2,24.2,83.47107438016529,116,38.97029702970296,31.31,34.34,100.0,200000000.0,電子–電子零組件
融程電三,34163,5,0.26,2026-01-11 00:00:00,100.5,2026-01-25 00:00:00,0.16986301369863013,0.0275,20.260000000000005,140.5,127.1,110.54287962234461,120,8.555160142348761,36.95,39.28,84.06,500000000.0,電子–電腦及週邊設備
安勤三,34793,5,3.7899999999999996,2027-01-08 00:00:00,100,2027-01-22 00:00:00,1.1616438356164382,0.03,16.790000000000006,98.7,109.3,90.30192131747484,113,25.135764944275586,30.51,38.19,100.0,650000000.0,電子–電腦及週邊設備
力致四,34834,6,6.27,2027-05-08 00:00:00,100,2027-05-22 00:00:00,1.4904109589041097,0.04,10.269999999999996,87,136.1,63.923585598824396,104,62.69425287356321,38.52,44.74,100.0,200000000.0,電子–電腦及週邊設備
崧騰三,34843,5,0.8999999999999999,2026-04-10 00:00:00,100.75,2026-04-24 00:00:00,0.4136986301369863,0.0325,22.5,46.95,42.2,111.25592417061611,121.6,9.297550585729496,22.88,39.98,63.62,400000000.0,電子–電子零組件
亞帝歐一,35161,永豐銀,4.67,2027-10-04 00:00:00,100,2027-10-18 00:00:00,1.8986301369863015,0.023,13.670000000000002,19.7,25.81,76.32700503680744,109,42.80659898477157,21.38,34.16,100.0,350000000.0,電子–光電
柏騰一,35181,台新銀,4.27,2027-08-01 00:00:00,100,2027-08-15 00:00:00,1.7232876712328766,0.023,10.670000000000002,19.3,35,55.142857142857146,106.4,92.95336787564767,46.52,47.33,100.0,300000000.0,電子–其他電子
御嵿一,35221,兆豐銀,1.14,2026-12-04 00:00:00,101.5075,2026-12-18 00:00:00,1.0657534246575342,0.022,8.090000000000003,15.95,18.6,85.75268817204301,106.95,24.719122257053307,33.59,41.23,82.06,150000000.0,觀光餐旅
凡甲六,35266,5,3.6099999999999994,2027-01-15 00:00:00,100,2027-01-29 00:00:00,1.180821917808219,0.028,27.810000000000002,239,200.3,119.32101847229156,124.2,4.088953974895415,26.72,31.93,78.75,1000000000.0,電子–電子零組件
凡甲七,35267,5,8.3,2028-07-10 00:00:00,100,2028-07-24 00:00:00,2.665753424657534,0.03,23.200000000000003,239,269.6,88.64985163204747,114.9,29.611046025104628,26.72,31.93,100.0,1500000000.0,電子–電子零組件
兆利二,35482,4,3.3899999999999997,2026-12-25 00:00:00,100,2027-01-08 00:00:00,1.1232876712328768,0.0275,5.189999999999998,83.3,186,44.784946236559136,101.8,127.30852340936374,38.68,49.15,99.98,800000000.0,電子–電子零組件
兆利三,35483,4,6.51,2028-02-11 00:00:00,100,2028-02-25 00:00:00,2.254794520547945,0.0275,8.010000000000005,83.3,162.8,51.16707616707616,101.5,98.36974789915969,38.68,49.15,100.0,1500000000.0,電子–電子零組件
世禾三,35513,5,9.09,2028-10-14 00:00:00,100,2028-10-28 00:00:00,2.9287671232876713,0.03,27.14,149,173,86.1271676300578,118.05,37.06476510067114,41.79,48.85,100.0,500000000.0,綠能環保
辛耘一,35831,4,1.8,2026-05-24 00:00:00,100,2026-06-07 00:00:00,0.5342465753424658,0.028,14.299999999999997,302,349.3,86.45863154881191,112.5,30.120033112582778,41.05,46.32,100.0,200000000.0,電子–半導體
辛耘二,35832,4,1.8900000000000001,2026-06-05 00:00:00,100,2026-06-19 00:00:00,0.5671232876712329,0.028,16.239999999999995,302,337.4,89.50800237107292,114.35,27.753940397350974,41.05,46.32,99.89,1000000000.0,電子–半導體
閎康一,35871,4,1.73,2026-06-06 00:00:00,100,2026-06-20 00:00:00,0.5698630136986301,0.025,17.28,180.5,192,94.01041666666666,115.55,22.91191135734072,43.03,41.8,75.11,600000000.0,電子–其他電子
宏致三,36053,5,5.17,2027-07-23 00:00:00,101.5075,2027-08-06 00:00:00,1.6986301369863013,0.0375,30.169999999999987,60.6,50.5,120.0,125,4.166666666666674,40.57,50.9,13.57,1000000000.0,電子–電子零組件
碩天三,36173,4,7.35,2028-06-02 00:00:00,100,2028-06-16 00:00:00,2.5616438356164384,0.0275,13.949999999999989,199.5,287.3,69.43961016359206,106.6,53.514686716791985,38.11,45.68,100.0,1500000000.0,電子–其他電子
家登四,36804,5,2.9999999999999996,2026-10-04 00:00:00,100,2026-10-18 00:00:00,0.8986301369863013,0.03,18.599999999999994,326.5,356,91.71348314606742,115.6,26.044716692189883,39.28,46.33,35.61,1000000000.0,電子–半導體
榮昌一,36841,6,6,2027-10-14 00:00:00,102.01,2027-10-28 00:00:00,1.926027397260274,0.04,18,46.3,50.7,91.3214990138067,112,22.64362850971924,37.83,31.72,100.0,300000000.0,電子–通信網路
碩禾三,36913,上海銀等,4.359999999999999,2027-08-16 00:00:00,100,2027-08-30 00:00:00,1.7643835616438357,0.023,4.260000000000005,66.2,118,56.10169491525424,99.9,78.06948640483382,43.44,45.57,100.0,2000000000.0,電子–光電
大聯大二,37022,4,6.199999999999999,2027-10-28 00:00:00,100,2027-11-11 00:00:00,1.9643835616438357,0.03,7.200000000000003,63.8,76.9,82.96488946684005,101,21.738244514106597,27.85,31.14,100.0,3500000000.0,電子–電子通路
大聯大三,37023,4,6.279999999999999,2027-11-07 00:00:00,100,2027-11-21 00:00:00,1.9917808219178081,0.03,8.579999999999998,63.8,74.6,85.52278820375335,102.3,19.617241379310336,27.85,31.14,100.0,2000000000.0,電子–電子通路
上緯投控三,37083,一銀,2.16,2026-09-13 00:00:00,100,2026-09-27 00:00:00,0.8410958904109589,0.022,41.16,106.5,86.4,123.26388888888889,139,12.766197183098594,62.39,55.31,30.37,1000000000.0,綠能環保
聯上五,41135,板信銀,7.029999999999999,2028-10-13 00:00:00,100,2028-10-27 00:00:00,2.926027397260274,0.023,13.030000000000001,20.85,26.3,79.27756653992397,106,33.707434052757776,29.23,39.16,100.0,400000000.0,建材營建
晟德六,41236,永豐銀,5.88,2028-04-12 00:00:00,100,2028-04-26 00:00:00,2.421917808219178,0.023,17.879999999999995,35.9,38.6,93.00518134715026,112,20.423398328690823,25.38,30.68,90.88,700000000.0,生技醫療
聯合五,41295,6,8.22,2028-05-15 00:00:00,101.5075,2028-05-29 00:00:00,2.5123287671232877,0.0375,27.569999999999993,114,105.6,107.95454545454545,119.35,10.555789473684207,32.51,33.06,99.98,700000000.0,生技醫療
承業醫五,41645,6,10.49,2028-06-06 00:00:00,100.752,2028-06-20 00:00:00,2.5726027397260274,0.0425,19.489999999999995,38.45,47,81.80851063829789,109,33.237971391417396,34.57,40.61,100.0,900000000.0,生技醫療
醣聯四,41684,土銀,6.79,2028-09-04 00:00:00,100,2028-09-18 00:00:00,2.819178082191781,0.023,16.590000000000003,20.8,23.91,86.99289000418236,109.8,26.217211538461527,51.76,46.69,100.0,500000000.0,生技醫療
三圓三,44163,一銀,0.14999999999999997,2026-09-16 00:00:00,102.01,2026-09-30 00:00:00,0.8493150684931506,0.022,8.150000000000006,37.25,65.7,56.69710806697108,108,90.48590604026845,29.13,30.45,95.59,1000000000.0,建材營建
廣越三,44383,4,8.58,2028-09-16 00:00:00,100,2028-09-30 00:00:00,2.852054794520548,0.029,21.679999999999993,81.4,75,108.53333333333335,113.1,4.20761670761669,30.45,34.66,100.0,800000000.0,紡織纖維
桓達一,45491,5,8.12,2027-10-24 00:00:00,100,2027-11-07 00:00:00,1.9534246575342467,0.04,18.120000000000005,110,154.4,71.24352331606218,110,54.399999999999984,45.38,53.2,100.0,500000000.0,電機機械
氣立四,45554,彰銀,6.1499999999999995,2028-05-26 00:00:00,100,2028-06-09 00:00:00,2.5424657534246577,0.023,17.400000000000006,40.25,43.4,92.74193548387098,111.25,19.95652173913043,41.05,48.85,100.0,500000000.0,電機機械
寶緯一,45581,華南銀,6.659999999999999,2028-08-14 00:00:00,100,2028-08-28 00:00:00,2.7616438356164386,0.023,8.659999999999997,18.85,29.8,63.25503355704698,102,61.251989389920425,31.53,44.02,100.0,300000000.0,電機機械
